waterBodyID,WBID,MULakeNumber,waterBody,WATER_BODY_DNR,Distance,waterBodyLatitude,waterBodyLongitude,waterBodyDesc,countyID,countryID,ecoregionID,stateID,waterBodyTypeID,MDNRNameID,primarySLAP19,damHeightM,volumeM3,surfAreaHA,watershedAreaHA,notes,geometry
133,7128,135,Trenton (Upper East),Trenton Lake Upper,381,40.0795,-93.5775,,,187,1,29,2,,,,,,,,POINT (-10416999.649707558 4877501.737092474)
135,7161,137,Green City,Green City Lake,590,40.2644,-92.9201,,,187,1,29,2,,,6.1,540264,23.5,390.1,,POINT (-10343818.21646006 4904438.8842423055)
137,7160,139,Marceline (North),Marceline Reservoir,754,39.7225,-92.9195,,,187,1,29,2,,,7.3,641410,26.3,789.1,,POINT (-10343751.424765583 4825698.299114673)
138,7120,140,Cameron (Century),Cameron Lake #1,358,39.7624,-94.2615,,,187,1,29,2,,,10.1,189956,8.9,437.9,,POINT (-10493142.181410156 4831474.729357602)
139,7014,141,Showme,Memphis Lake,1128,40.4397,-92.2177,,,187,1,29,2,,,18.6,5068369,91.1,688.9,,POINT (-10265627.406126862 4930045.531833049)
140,7106,143,Bethany (South),Old Bethany City Lake,33,40.2864,-94.0244,,,187,1,29,2,,,10.1,239295,7.3,89.5,old,POINT (-10466748.330143072 4907648.8479422)
141,7406,144,Pinewoods ,Pinewoods Lake,133,36.918,-90.7722,,,187,3,29,2,,,7.6,325639,12.1,105,,POINT (-10104715.082185186 4427683.199691571)
142,7033,145,Mark Twain,Mark Twain Lake,7124,39.5223,-91.6467,,,187,2,29,2,,yes,34.1,616789339,7496.4,608634.2,,POINT (-10202063.976883905 4796765.115818896)
143,7334,146,Crane ,Crane Lake,687,37.4236,-90.6272,,,187,3,29,2,,,14,1344493,42.8,2247.4,,POINT (-10088573.756020164 4498316.793186845)
144,7358,148,Blue Springs,Blue Springs Lake,1756,39.0141,-94.3371,,,187,1,29,2,,,16.2,13321584,294.2,8673.9,,POINT (-10501557.934914129 4723691.47788851)
145,7205,149,Lake of the Ozarks,Lake of the Ozarks,,38.2039,-92.6236,,,187,3,29,2,,,45.1,2491629600,20774.4,2499333.1,,POINT (-10310811.987439854 4608270.2231414085)
146,7189,150,Blind Pony,Blind Pony Lake,1155,39.0317,-93.3681,,,187,6,29,2,,,10.7,2235066,43.4,1311.8,,POINT (-10393689.348335447 4726213.343312524)
147,7617,152,Lafayette,Lac Lafitte,400,37.8925,-90.5942,"Lac Lafitte, Terre du Lac",,187,1,29,2,,,16.8,684581,12.1,220.6,,POINT (-10084900.212823985 4564250.778961347)
150,7071,155,Weatherby,Weatherby Lake,1252,39.2283,-94.7031,,,187,6,29,2,,,25.9,11872245,75.3,1114.6,,POINT (-10542300.868544467 4754426.548393215)
151,7193,157,Holden City,Holden City Lake,868,38.7611,-94.0344,,,187,1,29,2,,,17.7,4209867,118.3,1062.5,,POINT (-10467861.525051005 4687508.740983645)
152,7360,158,Amarugia Highlands W.A.,Amarugia Lake,347,38.5394,-94.4347,,,187,1,29,2,,,9.4,949780,22.3,392.5,,POINT (-10512422.717215553 4655907.692270193)
153,7385,159,Harmony Mission C.A.,Harmony Mission Lake,610,38.0735,-94.4288,,,187,1,29,2,,,12.8,1153304,39.1,605.5,,POINT (-10511765.93221987 4589814.107326758)
154,NA,160,Four Rivers,,,38.015,-94.3367,,,187,1,29,2,,,,,,,,POINT (-10501513.40711781 4581545.026556424)
155,7232,161,Bushwacker,Bushwacker Lake,1133,37.6717,-94.4056,,,187,1,29,2,,,12.2,1924229,66.4,1067.5,,POINT (-10509183.320033468 4533151.282133229)
156,7398,162,Maple Leaf,Maple Leaf Lake,552,38.9889,-93.7806,,,187,6,29,2,,,15.2,1832951,56.7,663,,POINT (-10439608.638287673 4720081.717517602)
157,7112,163,King,King Lake,1170,40.02,-94.4372,,,187,1,29,2,,,12.2,1594890,74.5,4842.3,,POINT (-10512701.015942534 4868849.050775666)
158,7146,164,Elmwood,Elmwood City Lake,1447,40.2244,-93.1156,,,187,1,29,2,,,14.3,3862026,59,1670.1,,POINT (-10365581.176910145 4898605.259954573)
159,7391,165,Jackrabbit,Jackrabbit Lake,267,38.8886,-94.3228,,,187,1,29,2,,,8.2,287401,11.3,190.2,,POINT (-10499966.066195784 4705727.017134488)
160,7374,166,Catclaw,Catclaw Lake,290,38.8892,-94.3167,,,187,1,29,2,,,9.4,524229,17.4,182.1,,POINT (-10499287.017301945 4705812.827406638)
161,7379,167,Cottontail,Cottontail Lake,332,38.8831,-94.3161,,,187,1,29,2,,,7.6,189956,8.5,474.3,,POINT (-10499220.22560747 4704940.456743246)
162,7403,168,Nell,Lake Nell,208,38.8797,-94.3228,,,187,1,29,2,,,9.1,308370,11.2,130,,POINT (-10499966.066195784 4704454.249864221)
163,7383,169,Gopher,Gopher Lake,475,38.8733,-94.3147,,,187,1,29,2,,,8.5,345374,16.7,714.1,,POINT (-10499064.378320359 4703539.100021009)
164,7378,170,Coot,Coot Lake,218,38.8694,-94.3398,,,187,1,29,2,,,10.4,172687,9.3,91.1,,POINT (-10501858.497539269 4702981.470993039)
166,7661,178,Daniel Boone,Daniel Boone Lake,1340,39.7896,-92.2631,,,187,1,29,2,,,9.1,17875592,495.7,7186,,POINT (-10270681.311008878 4835414.465190126)
167,7076,179,Nodaway County,Nodaway Lake,517,40.4264,-94.8578,,,187,6,29,2,,,16.8,653744,29.5,275.7,,POINT (-10559521.993770184 4928100.420656576)
168,7368,180,Bilby Ranch,Bilby Ranch Lake,498,40.3481,-95.1333,,,187,6,29,2,,,16.5,1677533,44.5,712.6,,POINT (-10590190.513483733 4916656.915490676)
169,7402,181,Mozingo,Mozingo Lake,3313,40.3495,-94.7776,,,187,6,29,2,,,23.5,34142726,408.3,5336.2,,POINT (-10550594.170608565 4916861.40804573)
170,7008,182,Fox Valley,Fox Valley Lake,457,40.4977,-91.7668,,,187,1,29,2,,,15.8,1889691,43.7,459.2,,POINT (-10215433.447728178 4938532.473483185)
171,7387,183,Hazel Hill,Hazel Hill Lake,425,38.8458,-93.7779,,,187,1,29,2,,,11.6,671013,28.7,670.1,,POINT (-10439308.075662531 4699607.752938619)
172,7198,184,Manito,Manito Lake,472,38.5911,-92.8072,,,187,3,29,2,,,13.1,1132335,31.2,601,,POINT (-10331250.2459495 4663268.259595703)
173,7386,185,Harrison County,Harrison County Lake,1424,40.3988,-94.0871,,,187,1,29,2,,,14.9,3505550,113.3,4416.9,,POINT (-10473728.06221581 4924065.176202083)
174,7331,186,Carl DiSalvo,Hemitite Lake,1023,37.7297,-90.6347,,,187,3,29,2,,,7.3,2170925,86.6,4207.2,,POINT (-10089408.65220111 4541311.545029325)
175,7365,187,Belcher Branch,Belcher Branch Lake,230,39.5839,-94.7331,,,187,6,29,2,,,14.3,772158,22.3,431.2,,POINT (-10545640.453268263 4805658.724541685)
176,7349,188,Big Oak,Big Oak Tree S.P. Lake,111,36.6403,-89.2919,,,187,4,29,2,,,3,98678,9.7,,,POINT (-9939928.839963904 4389087.1405644)
177,7229,189,Butler City,Butler Lake,576,38.2756,-94.4286,,,187,1,29,2,,,9.1,564934,22.3,797,,POINT (-10511743.668321712 4618432.341109878)
178,7058,190,Charity,Charity Lake,439,40.4756,-95.5842,,,187,6,29,2,,,11.7,159119,5.3,222.6,,POINT (-10640384.47188242 4935297.791638975)
179,7389,191,Indian Creek,Indian Creek Community Lake,1036,39.8975,-93.6957,,,187,2,29,2,,,17.1,3527753,77.7,1454.6,,POINT (-10430157.613519322 4851058.419328318)
180,7147,192,Jo Shelby,Fountain Grove Lakes,154,39.7168,-93.3222,,,187,1,29,2,,,7.9,271366,12.5,151.8,,POINT (-10388579.783708034 4824873.36771324)
181,7627,193,Busch 37,August A Busch Lake Number 37,175,38.7133,-90.7913,,,187,2,29,2,,,11,370044,12.1,155.2,,POINT (-10106841.28445934 4680687.066276527)
182,7082,194,Lawson City,Lawson City Lake,23,39.4547,-94.2022,,,187,1,29,2,,,13.7,333040,9.7,90.9,,POINT (-10486540.935606116 4787014.319842225)
183,7111,195,Limpp,Limpp Community State Lake,183,40.0625,-94.5381,,,187,6,29,2,,,7.6,252863,11.3,361.4,,POINT (-10523933.152563576 4875028.770114474)
